cname,sname,ResourceID
A terrestrial snail,Monadenia fidelis leonina,1
Abbott's bush-mallow,Malacothamnus abbottii,2
Abert's sanvitalia,Sanvitalia abertii,3
Abrams' onion,Allium abramsii,4
Abrams' oxytheca,Acanthoscyphus parishii var. abramsii,5
Abrams' spurge,Euphorbia abramsiana,6
Active Desert Dunes,Active Desert Dunes,7
Agoura Hills dudleya,Dudleya cymosa ssp. agourensis,8
Ahart's buckwheat,Eriogonum umbellatum var. ahartii,9
Ahart's dwarf rush,Juncus leiospermus var. ahartii,10
Ahart's paronychia,Paronychia ahartii,11
Alabaster Cave harvestman,Banksula californica,12
Alameda Island mole,Scapanus latimanus parvus,13
Alameda song sparrow,Melospiza melodia pusillula,14
Alameda whipsnake,Masticophis lateralis euryxanthus,15
Aleppo avens,Geum aleppicum,16
Alexander's buckwheat,Eriogonum alexanderae,17
Algodones Dunes sunflower,Helianthus niveus ssp. tephrodes,18
Algodones sand jewel beetle,Lepismadora algodones,19
Alkali Meadow,Alkali Meadow,20
Alkali Seep,Alkali Seep,21
Allen's pentachaeta,Pentachaeta aurea ssp. allenii,22
Alverson's foxtail cactus,Coryphantha alversonii,23
Alvin Meadow bedstraw,Galium californicum ssp. primum,24
Amargosa Canyon speckled dace,Rhinichthys osculus ssp. 1,25
Amargosa River,Amargosa River,26
Amargosa beardtongue,Penstemon fruticiformis var. amargosae,27
Amargosa naucorid bug,Pelocoris shoshone,28
Amargosa nitrophila,Nitrophila mohavensis,29
Amargosa pupfish,Cyprinodon nevadensis amargosae,30
Amargosa vole,Microtus californicus scirpensis,31
American badger,Taxidea taxus,32
American bugseed,Corispermum americanum var. americanum,33
American manna grass,Glyceria grandis,34
American peregrine falcon,Falco peregrinus anatum,35
American riella,Riella americana,36
American saw-wort,Saussurea americana,37
American scheuchzeria,Scheuchzeria palustris,38
American white pelican,Pelecanus erythrorhynchos,39
An andrenid bee,Andrena subapasta,40
An andrenid bee,Andrena macswaini,41
An isopod,Calasellus longus,42
An isopod,Calasellus californicus,43
Anacapa Island deer mouse,Peromyscus maniculatus anacapae,44
Anderson's manzanita,Arctostaphylos andersonii,45
Andreas Canyon leptonetid spider,Calileptoneta oasa,46
Andrew's dune scarab beetle,Pseudocotalpa andrewsi,47
Andrew's marble butterfly,Euchloe hyantis andrewsi,48
Angel Island mole,Scapanus latimanus insularis,49
Anthony Peak lupine,Lupinus antoninus,50
Antioch Dunes anthicid beetle,Anthicus antiochensis,51
Antioch Dunes buckwheat,Eriogonum nudum var. psychicola,52
Antioch Dunes evening-primrose,Oenothera deltoides ssp. howellii,53
Antioch Dunes halcitid bee,Sphecodogastra antiochensis,54
Antioch andrenid bee,Perdita scitula antiochensis,55
Antioch efferian robberfly,Efferia antiochi,56
Antioch multilid wasp,Myrmosula pacifica,57
